"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"96","BALIGOD, CORAZON BALORAN        CORA                             ISANG BANSA ISANG DIWA   4,945","5/12","CAVITE","04A","board member","2ND DISTRICT"," 4,945",NA,"BALIGOD, CORAZON BALORAN",NA,NA
"97","PARMIS, OLYMPIO ROJAS           OLYM                             DGIPP                    1,663","5/12","CAVITE","04A","board member","2ND DISTRICT"," 1,663",NA,"PARMIS, OLYMPIO ROJAS","DGIPP",TRUE
"98","BERATIO, EILEEN RIEL            EILEEN                           LDP MAGDALO             109,168   May 14,2004","5/12","CAVITE","04A","board member","3RD DISTRICT"," 109,168","May 14,2004","BERATIO, EILEEN RIEL","LDP MAGDALO",TRUE
"99","MENDOZA, HILDA POBLETE          HILDA                            LAKAS-CMD                95,698   May 14,2004","5/12","CAVITE","04A","board member","3RD DISTRICT"," 95,698","May 14,2004","MENDOZA, HILDA POBLETE","LAKAS-CMD",TRUE
"100","SILAO, ILUMINADA FERAER         LUMIN                            LDP/MAGDALO              87,446   May 14,2004","5/12","CAVITE","04A","board member","3RD DISTRICT"," 87,446","May 14,2004","SILAO, ILUMINADA FERAER","LDP/MAGDALO",TRUE
"101","MIRANDA, CECILIA DINGLASAN      -                                LAKAS-CMD                68,295","5/12","CAVITE","04A","board member","3RD DISTRICT"," 68,295",NA,"MIRANDA, CECILIA DINGLASAN","",TRUE
"102","MENDOZA, FRANCISCO SR. LANDICHO KIKO                             LDP MAGDALO              59,911","5/12","CAVITE","04A","board member","3RD DISTRICT"," 59,911",NA,"MENDOZA, FRANCISCO SR. LANDICHO KIKO","",TRUE
"103","ZAIDE, ALEXANDER TOLENTINO      BOYET                            LAKAS-CMD                32,387","5/12","CAVITE","04A","board member","3RD DISTRICT"," 32,387",NA,"ZAIDE, ALEXANDER TOLENTINO","LAKAS-CMD",TRUE
"104","JOAQUIN, ULIRAN TEE              OLY                                 NPC                     166,558   May 16,2004","6/12","LAGUNA","04A","congressman","1ST DISTRICT"," 166,558","May 16,2004","JOAQUIN, ULIRAN TEE","NPC",TRUE
"105","MATIBAG, MELVIN ALVAREZ          MM                                  LAKAS-CMD                69,812","6/12","LAGUNA","04A","congressman","1ST DISTRICT"," 69,812",NA,"MATIBAG, MELVIN ALVAREZ","LAKAS-CMD",TRUE
"106","CHIPECO, JUSTIN SAN BUENAVENTURA TIMMY                               LDP                     155,760   May 13,2004","6/12","LAGUNA","04A","congressman","2ND DISTRICT"," 155,760","May 13,2004","CHIPECO, JUSTIN SAN BUENAVENTURA TIMMY","",TRUE
"107","LAJARA, SEVERINO JAVIER          BINOY                               LAKAS-CMD                87,476","6/12","LAGUNA","04A","congressman","2ND DISTRICT"," 87,476",NA,"LAJARA, SEVERINO JAVIER","LAKAS-CMD",TRUE
"108","ILAG, LEODEGARIO MEDIALDIA       ODY                                 INDEPENDENT              2,622","6/12","LAGUNA","04A","congressman","2ND DISTRICT"," 2,622",NA,"ILAG, LEODEGARIO MEDIALDIA","INDEPENDENT",TRUE
"109","BUESER, DANTON QUIJANO           DANTON                              LP                      143,377   May 14,2004","6/12","LAGUNA","04A","congressman","3RD DISTRICT"," 143,377","May 14,2004","BUESER, DANTON QUIJANO","LP",TRUE
"110","MANICAD, CONRADO LANDICHO        RAD                                                          19,687","6/12","LAGUNA","04A","congressman","3RD DISTRICT"," 19,687",NA,"MANICAD, CONRADO LANDICHO","",TRUE
"111","AGARAO, BENJAMIN JR. CUETO       BENJIE                              LDP                      64,685   May 14,2004","6/12","LAGUNA","04A","congressman","4TH DISTRICT"," 64,685","May 14,2004","AGARAO, BENJAMIN JR. CUETO","LDP",TRUE
"112","SORIANO, VINCENT LUDOVICO        VINCE                               LP                       49,264","6/12","LAGUNA","04A","congressman","4TH DISTRICT"," 49,264",NA,"SORIANO, VINCENT LUDOVICO","LP",TRUE
"113","MACEDA, ERWIN PEREZ              WIN                                 PMP                      44,569","6/12","LAGUNA","04A","congressman","4TH DISTRICT"," 44,569",NA,"MACEDA, ERWIN PEREZ","PMP",TRUE
"114","PALACOL, MAGDALENO JR. BANDIN    BOGIE                               LAKAS-CMD                25,178","6/12","LAGUNA","04A","congressman","4TH DISTRICT"," 25,178",NA,"PALACOL, MAGDALENO JR. BANDIN","",TRUE
"115","CABALLES, LOUIE TAIÑO            LUIS ALBERTO                        INDEPENDENT               687","6/12","LAGUNA","04A","congressman","4TH DISTRICT"," 687",NA,"CABALLES, LOUIE TAIÑO","INDEPENDENT",TRUE
"116","LAZARO, TERESITA SANTIAGO        NINGNING                            LAKAS-CMD               317,116   May 16,2004","6/12","LAGUNA","04A","governor",""," 317,116","May 16,2004","LAZARO, TERESITA SANTIAGO","LAKAS-CMD",TRUE
"117","FERNANDEZ, DANILO RAMON SUBIAGA  DAN                                 PDSP                    302,654","6/12","LAGUNA","04A","governor",""," 302,654",NA,"FERNANDEZ, DANILO RAMON SUBIAGA  DAN","",TRUE
"118","SAN LUIS, RODOLFO SULIT          BOYIE                               LDP                     278,108","6/12","LAGUNA","04A","governor",""," 278,108",NA,"SAN LUIS, RODOLFO SULIT","LDP",TRUE
"119","OLIVAREZ, EDWIN DE LEON          EDWIN                               LAKAS-CMD               432,554   May 16,2004","6/12","LAGUNA","04A","vice governor",""," 432,554","May 16,2004","OLIVAREZ, EDWIN DE LEON","LAKAS-CMD",TRUE
"120","DE ROMA, RAMON REYES             MON                                 LDP                     171,756","6/12","LAGUNA","04A","vice governor",""," 171,756",NA,"DE ROMA, RAMON REYES","LDP",TRUE
"121","TIONGCO, EMILIO MEDINA           EMIL                                KAMPI                   115,342","6/12","LAGUNA","04A","vice governor",""," 115,342",NA,"TIONGCO, EMILIO MEDINA","KAMPI",TRUE
"122","GARCIA, ALEX MUÑOZ               TET                                 INDEPENDENT              15,160","6/12","LAGUNA","04A","vice governor",""," 15,160",NA,"GARCIA, ALEX MUÑOZ","INDEPENDENT",TRUE
"123","ALATIIT, GABNULANG ALIBUSAN      GAB                                 LAKAS-CMD                90,119   May 16,2004","6/12","LAGUNA","04A","board member","1ST DISTRICT"," 90,119","May 16,2004","ALATIIT, GABNULANG ALIBUSAN","LAKAS-CMD",TRUE
